"cov","dr","ds","t","lspos","text"
"CC", 2924.3,4853,"Nt","A","LC"
"CC", 2535.2,5242,"Nt","A","LC"
"CO", 2146.1,4957,"Ci","A","LC"
"NO", 2442.3,4690,"Ci","A","LC"
"NC", 2831.4,5079,"Ci","A","LC"
"OO", 1576.9,4283,"Nt","A","LC"
"CN", 1187.7,3999,"Nt","A","LC"
"NO", 1483.9,3732,"Nt","A","LC"
"CC", 2253.5,4121,"Nt","A","LC"
"CC", 3226.3,3976,"Nt","A","LC"
"CC", 5157.5,4551,"Nt","A","LC"
"ON", 4048.2,2730,"Nt","A","LC"
"NC", 3075.3,2538,"Nt","A","LC"
"CC", 2117.0,2921,"Nt","A","LC"
"CO", 1144.2,3311,"Nt","A","LC"
"CN",  214.9,3026,"Nt","A","LC"
"CN",  891.5,2759,"Nt","A","LC"
"CC", 1864.4,3148,"Nt","A","LC"
"CC", 2837.2,3003,"Nt","A","LC"
"CO", 3795.5,3189,"Nt","A","LC"
"CC", 6290.1,4777,"Nt","A","LC"
"OO", 7184.5,5750,"Nt","A","LC"
"NO", 3267.0,1565,"Nt","A","LC"
"CN", 2308.7,1949,"Nt","A","LC"
"CC", 1335.8,2477,"Nt","A","LC"
"CN",  363.0,2053,"Nt","A","LC"
"CC",  592.4,1786,"Nt","A","LC"
"CN", 1565.3,2175,"Nt","A","LC"
"CC", 2538.1,2030,"Nt","A","LC"
"CN", 3496.4,2216,"Nt","A","LC"
"CC", 4469.3,2605,"Nt","A","LC"
"CC", 5822.5,4388,"Nt","A","LC"
"OO", 3542.9, 607,"Nt","A","LC"
"OO", 2584.6,1408,"Nt","A","LC"
"CC", 1611.7,2094,"Nt","A","LC"
"CO",  638.9,1121,"Nt","A","LC"
"CO",  304.9, 828,"Nt","A","LC"
"CC", 1277.8,1426,"Nt","A","LC"
"CC", 2250.6,1072,"Nt","A","LC"
"CC", 3197.3,1257,"Nt","A","LC"
"CO", 3586.4,2073,"Nt","A","LC"
"CO", 4480.9,3046,"Nt","A","LC"
"OO", 3786.8, 563,"Nt","A","LC"
"CN", 1855.7,1867,"Nt","A","LC"
"CC",  882.8, 894,"Nt","A","LC"
"CN",   69.7, 261,"Nt","A","LC"
"CC", 1033.8,1199,"Nt","A","LC"
"CN", 1841.1, 247,"Nt","A","LC"
"CC", 2224.5, 711,"Nt","A","LC"
"CC", 3118.9,1684,"Nt","A","LC"
"NO", 5082.0,4588,"Nt","A","L"
"CC", 5471.1,5561,"Nt","A","L"
"ON", 4077.2,1536,"Nt","A","LC"
"CC", 2146.1,2256,"Nt","A","LC"
"CC", 1173.2,1501,"Nt","A","LC"
"CC",  214.9, 990,"Nt","A","LC"
"CC",  694.1,1040,"Nt","A","LC"
"CN",  868.3,1072,"Nt","A","LC"
"CC", 1756.9,1257,"Nt","A","LC"
"NN", 2729.8,2073,"Nt","A","LC"
"NO", 3397.7,2878,"Nt","A","LC"
"OO", 1452.0,1417,"Nt","A","LC"
"CN",  493.7, 459,"Nt","A","LC"
"CN",  261.4, 540,"Nt","A","LC"
"CN",  659.2,1513,"Nt","A","LC"
"CC", 1617.5,2216,"Nt","A","LC"
"NN", 2366.8,2605,"Nt","A","LC"
"CO", 2378.4,3430,"Nt","A","LC"
"NN", 2761.7,4388,"Nt","A","LC"
"NC", 3644.5,3706,"Nt","A","L"
"CC", 3993.0,4269,"Nt","A","L"
"OC", 4382.1,4658,"Nt","A","L"
"NO", 1748.2,1806,"Nt","A","LC"
"CC",  789.9,1266,"Nt","A","LC"
"CO",  171.3,1286,"Nt","A","LC"
"CC", 1144.2,1902,"Nt","A","LC"
"CC", 1515.9,2402,"Nt","A","LC"
"CN", 1393.9,3287,"Nt","A","LC"
"CC", 1405.5,3967,"Nt","C","LC"
"CC", 1788.9,4777,"Nt","A","LC"
"OO", 2700.7,3122,"Nt","A","L"
"CC", 2671.7,2733,"Nt","A","L"
"CN", 2686.2,2913,"Nt","A","L"
"CC", 3020.2,3296,"Nt","A","L"
"OC", 2131.5,3168,"Nt","A","L'"
"OO", 1434.6,2564,"Nt","A","LC"
"OO", 1071.6,1606,"Nt","A","LC"
"CC",   98.7, 912,"Nt","A","LC"
"CC",  723.1,1045,"Nt","A","LC"
"CO",  543.0,1925,"Nt","A","LC"
"CC",  421.1,2898,"Nt","C","LC"
"CO",  441.4,3871,"Nt","C","LC"
"CC", 1399.7,4583,"Nt","A","L"
"OC", 2201.2,3827,"Nt","A","L"
"OO", 1812.1,2855,"Nt","A","L"
"CO", 1727.9,2149,"Nt","A","L"
"OO", 1698.8,1760,"Nt","A","L"
"NN", 1713.4,1940,"Nt","A","L"
"CN", 2047.3,2332,"Nt","A","L"
"CO", 1748.2,3293,"Nt","A","L'"
"CC",  775.4,2320,"Nt","A","L'"
"ON",  145.2,1362,"Nt","C","LC"
"CC",   34.8, 389,"Cp","F","L"
"CC",  217.8, 723,"Cp","C","LC"
"CC",  368.8,1681,"Cp","C","LC"
"CC",  537.2,2654,"Cp","C","LC"
"CC",  781.2,3627,"Cp","C","LC"
"CC", 1539.1,3624,"Nt","A","L"
"NO", 1521.7,3235,"Nt","A","L"
"CC",  853.8,2471,"Nt","A","L"
"CO",  769.6,1513,"Nt","A","L'"
"CC",  740.5, 802,"Nt","A","L'"
"CC",  755.0, 990,"Nt","A","L'"
"CC", 1089.0,1771,"Nt","A","L"
"CC", 1623.3,1751,"Nt","A","L"
"CC", 4309.5,3737,"Nt","A","L"
"CC", 1661.1,2515,"Nt","A","L'"
"CC",  688.2,2126,"Nt","A","L'"
"CN",  261.4,1751,"Nt","C","LC"
"CC", 1007.7,1275,"Cp","F","L"
"CC", 1190.6,1408,"Cp","C","LC"
"CC", 1341.6,2071,"Cp","C","LC"
"CC", 1510.1,3043,"Cp","C","LC"
"CC", 1754.0,3035,"Cp","C","LC"
"CN", 2137.3,2651,"Nt","A","L"
"OO", 1219.7,2262,"Nt","A","L"
"CN",  246.8,2216,"Nt","F","L"
"CO",  194.6,1345,"Nt","F","L"
"CC",  223.6, 380,"Nt","F","L"
"CN",  217.8, 822,"Nt","A","L'"
"CN",  522.7, 799,"Nt","A","L'"
"CC",  909.0, 955,"Nt","A","L"
"CN", 1280.7,1681,"Nt","A","L"
"NC",  322.3, 723,"Nt","A","L"
"NC", 2947.6,2677,"Nt","A","L"
"CC",  717.3,1153,"Nt","C","LC"
"CC",  217.8,1350,"Cp","C","LC"
"CC", 1190.6,2123,"Cp","F","L"
"CC", 2163.5,2381,"Cp","C","LC"
"CC", 2314.5,2765,"Cp","C","LC"
"CC", 2482.9,3433,"Cp","C","LC"
"CC", 2726.9,2471,"Cp","C","LC"
"CN", 2047.3,1679,"Nt","A","L"
"CN", 1074.5,1289,"Nt","A","L"
"CN",  101.6,1243,"Nt","F","L"
"CC",  856.7,1522,"Nt","F","L"
"CN", 1196.4,1353,"Nt","F","L"
"CN",  775.4,1365,"Nt","F","L"
"CO",  243.9, 407,"Nt","F","L"
"CC",  723.1, 799,"Nt","A","L'"
"NN", 1513.0,1754,"Nt","A","L'"
"CN",  554.7,1060,"Nt","A","L"
"CC",  319.4, 926,"Nt","A","L"
"CC", 1060.0,1612,"Nt","A","L"
"CC",  331.1, 273,"Nt","C","LC"
"CC",  606.9, 767,"Cp","F","L"
"CC", 1574.0,1739,"Cp","F","L"
"CC", 2546.8,2712,"Cp","F","L"
"CC", 3272.8,3671,"Cp","C","LC"
"ON", 3441.2,3061,"Cp","C","LC"
"OC", 2883.7,2088,"Cp","C","LC"
"CN", 1925.4,1130,"Nt","A","L"
"CN",  952.5, 331,"Nt","A","L"
"CC",  203.3, 285,"Nt","F","L"
"CO",  755.0, 921,"Nt","F","L"
"CC",  461.7, 886,"Nt","F","L"
"CN",  769.6, 984,"Nt","F","L"
"CC",  180.0,1301,"Nt","F","L"
"CC",  972.8,1522,"Nt","F","L"
"CO", 1126.8,1257,"Nt","F","L"
"CN",  171.3, 412,"Nt","A","L'"
"CC",  699.9, 953,"Nt","A","L'"
"OC", 1672.7,1925,"Nt","A","L'"
"NO", 1483.9,1522,"Nt","A","L"
"CO", 1431.7, 746,"Nt","A","L"
"CN", 1899.2, 833,"Nt","A","L"
"NC", 4274.7,3737,"Nt","A","L"
"CC",  528.5,1554,"Nt","A","L'"
"CC",   75.5, 964,"Cp","C","LC"
"CC",  996.1,1162,"Cp","F","L"
"CC", 1957.3,2047,"Cp","F","L"
"CO", 2930.1,3020,"Cp","C","LC"
"CC", 3888.5,3978,"Cp","C","LC"
"CC", 3850.7,3194,"Cp","C","LC"
"CC", 2877.9,2222,"Cp","C","LC"
"CN", 1919.5,1263,"Nt","A","L"
"CC",  946.7, 665,"Nt","A","L"
"CC",  159.7, 514,"Nt","F","LC"
"CO",  798.6,1124,"Nt","F","L"
"CN",  426.9, 456,"Nt","F","L"
"CC",   20.3, 517,"Nt","F","L"
"CN",  368.8, 546,"CA","F","L"
"CN",  868.3,1519,"CA","F","L"
